# id	left	top	right	bottom	texture_id
[SPRITES]
#RED BOX
#Top layer
61000	86	73	103	90	30
62000	104	73	121	90	30
63000	122	73	139	90	30

#Mid layer
64000	86	91	103	108	30
65000	104	91	121	108	30
66000	122	91	139	108	30

#Bottom Layer
67000	86	109	103	126	30
68000	104	109	121	126	30
69000	122	109	139	126	30

#GREEN BOX
#Top layer
61001	206	109	223	126	30
62001	224	109	241	126	30
63001	242	109	259	126	30

#Mid layer
64001	206	127	223	144	30
65001	224	127	241	144	30
66001	242	127	259	144	30

#Bottom Layer
67001	206	145	223	162	30
68001	224	145	241	162	30
69001	242	145	259	162	30

#BLUE BOX
#Top layer
61002	386	55	403	72	30
62002	404	55	421	72	30
63002	422	55	439	72	30

#Mid layer
64002	386	73	403	90	30
65002	404	73	421	90	30
66002	422	73	439	90	30

#Bottom Layer
67002	386	91	403	108	30
68002	404	91	421	108	30
69002	422	91	439	108	30

#WHITE BOX
#Top layer
61003	26	109	43	126	30
62003	44	109	61	126	30
63003	62	109	79	126	30

#Mid layer
64003	26	127	43	144	30
65003	44	127	61	144	30
66003	62	127	79	144	30

#Bottom Layer
67003	26	145	43	162	30
68003	44	145	61	162	30
69003	62	145	79	162	30

#STRIPE PLATFORM
#top Layer
61004	96	37	113	54	31
62004	114	37	131	54	31
63004	132	37	149	54	31

#bottom layer
64004	96	55	113	72	31
65004	114	55	131	72	31
66004	132	55	149	72	31

#GRASS PLATFORM
#top layer
61005	156	73	173	90	31
62005	174	73	191	90	31
63005	192	73	209	90	31

#bottom layer
64005	156	91	173	108	31
65005	174	91	191	108	31
66005	192	91	209	108	31

#SHADOW ON RED
60001	86	127	103	144	30
60002	104	127	121	144	30
60003	122	127	139	144	30

#SHADOW ON GREEN
60011	206	163	223	180	30
60012	224	163	241	180	30
60013	242	163	259	180	30

#SHADOW ON BLUE
60021	386	109	403	126	30
60022	404	109	421	126	30
60023	422	109	439	126	30

#SHADOW ON WHITE
60031	26	163	43	180	30
60032	44	163	61	180	30

#SHADOW ON BACKGROUND
60051	104	145	121	162	30
60052	122	145	139	162	30
60053	104	163	121	180	30
60054	122	163	139	180	30
60055	86	163	103	180	30

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
