# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE LEFT & RIGHT					
11121	452	180	467	207	1
11111	1	93	18	120	1
11124	204	180	219	207	1
11114	249	93	264	120	1
					
#WALKING RIGHT					
11222	433	180	450	207	1
11223	415	180	432	207	1
11224	186	180	201	207	1
11225	167	180	184	207	1
					
#WALKING LEFT					
11212	19	93	36	120	1
11213	37	93	54	120	1
11214	267	93	282	120	1
11215	285	93	300	120	1
					
#RUNNING RIGHT					
11321	358	180	377	207	1
11322	332	180	351	207	1
11323	306	180	325	207	1
					
#RUNNING LEFT					
11311	91	93	110	120	1
11312	117	93	136	120	1
11313	143	93	162	120	1
					
#JUMP WALK RIGHT & LEFT					
11417	379	180	396	207	1
11413	73	93	90	120	1
					
#JUMP RUN RIGHT & LEFT					
11427	280	180	299	207	1
11423	169	93	188	120	1
					
#SIT RIGHT & LEFT 					
11521	399	189	414	208	1
11511	55	102	70	121	1
					
#BRACE RIGHT & LEFT 		
11621	257	179	274	208	1
11611	195	92	212	121	1

#KICK RIGHT $ LEFT
11721	141	180	162	207	1
11711	306	93	327	120	1

#DIE
13001	307	16	334	33	1

############ SMALL ################
 #IDLE
12121	309	55	322	70	1
12111	3	17	16	32	1
12123	164	54	179	71	1
12113	146	16	161	33	1

#WALK RIGHT					
12222	289	54	306	71	1
12224	146	54	161	71	1
					
#WALK LEFT					
12212	20	16	37	33	1
12214	164	16	179	33	1

#RUN RIGHT					
12321	253	54	270	71	1
12322	235	54	252	71	1
					
#RUN LEFT					
12311	55	16	72	33	1
12312	73	16	90	33	1

#JUMP WALK RIGHT & LEFT 
12413	37	16	54	33	1
12417	271	54	288	71	1

#JUMP RUN RIGHT & LEFT 
12423	91	16	108	33	1
12427	217	54	234	71	1

#BRACE RIGHT & LEFT
12511	200	54	215	71	1
12521	110	16	125	33	1

#KICK RIGHT & LEFT
12621	127	54	144	71	1
12611	182	16	199	33	1

######### RACCOON ##############					
#IDLE					
13121	430	263	451	292	1
13111	1	350	24	379	1
13124	430	297	451	326	1
13114	1	384	24	413	1
					
#WALKING RIGHT					
13222	403	263	426	292	1
13223	375	263	402	292	1
13225	403	297	426	326	1
13226	376	297	401	326	1

					
#WALKING LEFT					
13212	27	350	50	379	1
13213	53	350	76	379	1
13215	27	384	50	413	1
13216	53	384	76	413	1

					
#RUNNING RIGHT					
13321	245	263	270	292	1
13322	219	263	244	292	1
13323	193	263	218	292	1
					
#RUNNING LEFT					
13311	183	350	208	379	1
13312	209	350	234	379	1
13313	235	350	260	379	1
					
#JUMP WALK RIGHT & LEFT					
13417	324	263	349	290	1
13413	105	350	128	377	1
					
#JUMP RUN RIGHT & LEFT					
13427	167	261	192	292	1
13423	261	348	286	379	1
					
#SIT RIGHT & LEFT 			
13521	351	273	374	292	1
13511	79	360	102	379	1
					
#BRACE RIGHT & LEFT 					
13621	97	261	114	294	1
13611	339	348	356	381	1

#FLOAT RIGHT 
13721	298	263	323	292	1
13722	273	263	296	292	1

#FLOAT LEFT
13711	131	350	154	379	1
13712	157	350	180	379	1

#FLYING RIGHT
13821	141	263	166	290	1
13822	115	263	140	290	1

#FLYING LEFT
13811	287	350	312	377	1
13812	313	350	338	377	1

#TAIL ATTACK RIGHT
13921	54	263	77	292	1
13922	79	263	96	292	1
13923	375	350	398	379	1
13934	35	263	52	292	1

#KICK RIGHT & LEFT
13021	349	297	372	326	1
13011	81	384	104	413	1

#Transformation effect
14001	344	61	361	78	1
14002	364	63	377	76	1
14003	382	63	395	76	1
14004	400	64	413	75	1

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#KICK
200	11721	100
201	11711	100

#CHANGING FROM BIG TO SMALL 
300	11121	100	12121	100
301	11111	100	12111	100

#CHANGING FORM RACCON
302	14001	60	14002	60	14003	60	14004	60

####### BIG ##########
#IDLE
400	11121	100
401	11111	100
402	11124	100
403	11114	100


#WALKING RIGHT & LEFT 
500	11121	70	11222	70	11223	70	11222	70
501	11111	70	11212	70	11213	70	11212	70
502	11124	100	11224	100	11225	100	11224	100
503	11114	100	11214	100	11215	100	11214	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50	11322	50
601	11311	50	11312	50	11313	50	11312	50
602	11124	50	11224	50	11225	50	11224	50
603	11114	50	11214	50	11215	50	11214	50

#JUMP WALK
700	11417	100
701	11413	100
702	11223	100
703	11213	100
704	11225	100
705	11215	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11611	100
1001	11621	100

#DIE
999	13001	100

################### SMALL #################
#IDLE
1100	12121	100
1102	12111	100
1103	12123	100
1104	12113	100


#WALK LEFT & RIGHT 
1200	12121	70	12222	70
1201	12111	70	12212	70
1202	12123	100	12224	100
1203	12113	100	12214	100

#RUN LEFT & RIGHT
1300	12321	50	12322	50
1301	12311	50	12312	50
1302	12123	50	12224	50
1303	12113	50	12214	50

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100
1502	12224	100
1503	12214	100
#JUMP RUN 
1601	12423	100
1600	12427	100

#KICK
1700	12621	100
1701	12611	100

################ RACCOON #############				
#IDLE				
2000	13121	100
2001	13111	100
2002	13124	100
2003	13114	100

#WALKING RIGHT & LEFT
2100	13121	70	13222	70	13223	70	13222	70
2101	13111	70	13212	70	13213	70	13212	70
2102	13124	100	13225	100	13226	100	13225	100
2103	13114	100	13215	100	13216	100	13215	100

#RUNNING RIGHT & LEFT				
2200	13321	50	13322	50	13323	50	13322	50
2201	13311	50	13312	50	13313	50	13312	50
2202	13225	50	13124	50	13226	50	13124	50
2203	13215	50	13114	50	13216	50	13114	50

#JUMP WALK
2300	13417	100
2301	13413	100
2302	13721	100
2303	13711	100
2304	13226	100
2305	13216	100

#JUMP RUN				
2400	13427	100
2401	13423	100

#SIT RIGHT & LEFT 				
2500	13521	100
2501	13511	100

#BRACE RIGHT & LEFT 
2600	13611	100
2601	13621	100

#SLOW FALL 
2700	13721	50	13223	50	13722	50	13223	50
2701	13711	50	13213	50	13712	50	13213	50

#FLYING
#2800	13822	70	13821	70	13427	70	13821	70
2800	13822	70	13821	70	13427	70	13821	70
2801	13812	70	13811	70	13423	70	13811	70

#TAIL ATTACK
#2900	13921	100	13922	100	13923	100	13934	100	13921	100
2900	13921	30	13922	50	13923	50	13934	50	13921	50
2901	13923	30	13922	50	13921	50	13934	50	13923	50

#KICK
3000	13021	100
3001	13011	100
